Name,Status,Type,Phase,Subject,Week,Estimated Hours,Dependencies,Description
"Create Monitoring Dashboard",Not Started,Implementation,Production,Subject 6,10,4,Add VRAM and Latency Monitoring,"Visualize key metrics and set up alerts"
"Read Subject 7 (Evaluation)",Not Started,Learning,Production,Subject 7,10,2,Create Monitoring Dashboard,"Study LLM-specific metrics"
"Build Evaluation Framework",Not Started,Implementation,Production,Subject 7,10,4,Read Subject 7 (Evaluation),"Implement faithfulness, relevance, accuracy metrics"
"Create Test Dataset",Not Started,Implementation,Production,Subject 7,10,3,Build Evaluation Framework,"Curate 100+ test cases for security tasks"
"Implement LLM-as-Judge Evaluation",Not Started,Implementation,Production,Subject 7,10,3,Create Test Dataset,"Use second LLM to evaluate quality"
"Week 10 Deliverable: Monitoring + Eval",Not Started,Deliverable,Production,Subject 7,10,0,Implement LLM-as-Judge Evaluation,"Production observability and quality metrics"
"Read Subject 8 (Agent Frameworks)",Not Started,Learning,Production,Subject 8,11,3,Week 10 Deliverable: Monitoring + Eval,"Study ReAct pattern and tool use"
"Design Agent Tools",Not Started,Implementation,Production,Subject 8,11,4,Read Subject 8 (Agent Frameworks),"Define function signatures for SIEM query, threat intel, etc."
"Implement ReAct Agent Loop",Not Started,Implementation,Production,Subject 8,11,5,Design Agent Tools,"Build reasoning and action execution logic"
"Add Multi-Tool Orchestration",Not Started,Implementation,Production,Subject 8,12,4,Implement ReAct Agent Loop,"Enable agent to use 3-5 tools per investigation"
"Implement Execution Control",Not Started,Implementation,Production,Subject 8,12,3,Add Multi-Tool Orchestration,"Max iterations, timeouts, budget limits"
"Test Agent on Sample Investigations",Not Started,Implementation,Production,Subject 8,12,4,Implement Execution Control,"Verify agent completes tasks without human"
"Week 12 Deliverable: Security Agent",Not Started,Deliverable,Production,Subject 8,12,0,Test Agent on Sample Investigations,"Automated threat hunting agent"
"Package Chatbot for Deployment",Not Started,Implementation,Commercialization,All,13,8,Week 12 Deliverable: Security Agent,"Docker container, docs, setup scripts"
"Write Technical Documentation",Not Started,Implementation,Commercialization,All,14,8,Package Chatbot for Deployment,"User guide, admin guide, API docs"
"Create Demo Videos",Not Started,Implementation,Commercialization,All,15,6,Write Technical Documentation,"Screen recordings showing key features"
"Build Marketing Website",Not Started,Implementation,Commercialization,All,16,10,Create Demo Videos,"Landing page for product"
"Identify Target Customers",Not Started,Implementation,Commercialization,All,17,4,Build Marketing Website,"Research companies with 50-500 employees"
"Reach Out to First 10 Prospects",Not Started,Implementation,Commercialization,All,18,8,Identify Target Customers,"LinkedIn messages, cold emails"
"Conduct First Demo",Not Started,Implementation,Commercialization,All,19,4,Reach Out to First 10 Prospects,"Live demo with prospect"
"Iterate Based on Feedback",Not Started,Implementation,Commercialization,All,20,12,Conduct First Demo,"Address concerns, add requested features"
"Close First Customer",Not Started,Deliverable,Commercialization,All,21,8,Iterate Based on Feedback,"First paid deployment"
"Productize Agent System",Not Started,Implementation,Commercialization,All,22,15,Close First Customer,"Package security agent for external sale"
"Build Self-Service Onboarding",Not Started,Implementation,Commercialization,All,23,10,Productize Agent System,"Reduce customer setup time to <1 hour"
"Scale to 5 Customers",Not Started,Deliverable,Commercialization,All,24,12,Build Self-Service Onboarding,"Validate product-market fit"
